,text,label,language,TextCleaned
13,我覺得我變白了欸 是因為太久沒出門嗎,2.2,Chinese,i think i have turned white. is it because i have not been out for a long time?
14,尋找所有人的匿名問題！ 芷萌沒有任何問題！ 芷萌山第一個令人難忘的答案可能是您的問題！ ？ #問題框 #尋找匿名問題 http,2.0,Chinese,find anonymous questions for everyone! zhimeng has no problems! zhimengshan's first memorable answer may be your question! ? questionbox find anonymous questions http
15,@user 没钱,2.4,Chinese, no money
16,@user 練啊 之後載我,1.75,Chinese, practice pick me up later
17,感覺台灣嘅法律文法唔係好適合廣東話，但是我都唔識除左英文以外嘅法律文法,1.6,Chinese,i feel that taiwan's legal grammar is not suitable for cantonese but i do not know legal grammar other than zuo english
18,@user 我來接送妳,2.4,Chinese, i will pick you up
19,@user 感觉好高,1.8,Chinese, feels so high
20,@user @user 都沒有注意看自介抓到要處罰,1.8,Chinese,  did not pay attention to see selfintroduction caught and punished
21,小姐姐，坐标杭州，招募要求如下👇 有聊聊约吃饭逛逛的小哥哥嘛 http,3.5,Chinese,young lady the coordinates are in hangzhou. the recruitment requirements are as follows
22,习近平向中国军队喊话：做好军事斗争准备 习近平在中共中央军委军事工作会议上讲话（图源：新华社） 习近平（中）签署中央军委201 http http,1.0,Chinese,xi jinping shouted to the chinese army: prepare for military struggle xi jinping delivered a speech at the central military commission military work conference (source: xinhua news agency)
23,@user 繼續更新,2.0,Chinese, keep updating
24,"当兵两年的学弟退伍回来了，他告诉我在部队天天训练,憋了两年可把他憋坏了。所以退伍回来第一时间就联系上了我😍（转发500＋更新完整版） http",3.2,Chinese,the junior who served in the army for two years came back from the army. he told me that he was training every day in the army and he was exhausted after holding back for two years. so i contacted me as soon as i got back from the army  ( reposts + update the full version) http
25,我已经懒到来推了 叫入🚪也累了 基本上是vx了 想进的直接口令和vx号 我看到会领了再加的 谢谢小拉@xiaolaqiuzhang http,3.0,Chinese,i’m too lazy to come and push. i’m tired of calling in. it’s basically vx. i want to enter the direct password and vx number. i will receive it when i see it. thank you xiaola http
26,@SpeechFreedomCN 您是我尊敬的人，多謝您為我做的一切,2.6,Chinese, you are someone i respect thank you for everything
27,@zlj517 十几年前，在四川汶川发生大地震时日本尽力救灾，日本人民都慰问了遇难者， 当时胡锦涛先生说中方愿在防灾救灾减灾领域同日方加强合作， 此后果是这个讽刺画吗？,2.2,Chinese, more than ten years ago when the earthquake in wenchuan sichuan japan tried its best to provide disaster relief the japanese people expressed condolences to the victims. at that time mr. hu jintao said that china is willing to strengthen cooperation with japan in the field of disaster prevention relief and mitigation. the consequence is this caricature ?
28,笑死，大埔業務超市主力賣中國貨，山寨貨。 http #6 回覆 - 分享自 LIHKG 討論區 http,2.0,Chinese,laughing the tai po business supermarket mainly sells chinese products and counterfeit products. http  reply  shared from lihkg discussion http
29,@user 崭新的新年，崭新的居所，崭新的希望（强国政治局文章标配三连排比句），祝平安健康喜乐！,3.4,Chinese, a new year a new residence and a new hope (the politburo article comes standard with triple parallel sentences) i wish you peace health and joy!
30,不得已的正裝，但是...熱😓 http,2.0,Chinese,formal attire as a last resort but...hot  http
31,@user 發掘原來自己是小廚師，覺得再自炊下去要變胖了,3.2,Chinese, discovered that he was a little chef and felt that if he continued to cook by himself he would become fat
32,@user 長得丑就沒有权利發自拍了麼 再說美丑是那麼主觀的東西😂,1.8,Chinese, does not have the right to post a selfie if he is ugly. besides beauty and ugliness are so subjective 
33,@user @user @user @BBCWorld 啊啊确实 上推一年多没骂过人 已经习惯了 被长安网破防属实不应该,2.2,Chinese,    ah indeed i haven’t scolded anyone since i uploaded it for more than a year.
34,像我姐姐一样有良心的没几个，你所谓的国外国，将来非常可能成为太上皇，这里有几个正常人哦。,3.0,Chinese,few people have a conscience like my sister. your socalled foreign country is very likely to become the emperor in the future. there are a few normal people here.
35,@user 別在這裏撒野，出自郭文貴之口沒有壹句是實話，全世界的人都知道，別在這裏瞎蒙亂撞，短短改編後的視頻會有人相信嗎？幼稚！所有香港群眾都知道，是香港警察用生命守護著香港，守護著家，不容任何人挑釁！,1.75,Chinese, don't act wild here there is no truth in guo wengui's mouth people all over the world know do not be fooled here will anyone believe the short edited video? childish! all hong kong people know that it is the hong kong police who guard hong kong and their home with their lives and do not allow anyone to provoke them!
36,快手 抖音 裸舞 脱衣舞更多裸舞系列加我首页 白嫖勿扰 价格便宜 都是精品哦😝＃宅舞 ＃裸舞 ＃舞蹈 ＃艳舞 ＃福利 ＃网红 ＃热舞 ＃快手 ＃抖音 #反差婊 #地摊经济 #脱衣舞 http,3.0,Chinese,kuaishou douyin naked dance striptease more naked dance series add my homepage white whoring do not disturb cheap price all highquality products bitch地汁经济striptease http
37,@user 人的轮廓和上面铁路标志的轮廓惊人一致,1.8,Chinese,the outline of the  man is strikingly consistent with the outline of the railway sign above
38,一想到五月份要来了终于可以把辞职这个流程走完啦就很开心。同时又开始焦虑了，一直有想做的事可一直缺少迈出去那一步的勇气，朋友们也都在给我鼓励，希望早点做自己喜欢开心的事就好啦！,3.2,Chinese,i am very happy when i think that may is coming and i can finally complete the resignation process. at the same time i started to feel anxious again. i have always wanted to do something but i have always lacked the courage to take that step. my friends are also encouraging me. i hope that i can do what i like and be happy as soon as possible!
39,第六卷：不…我愿意…我愿意奉獻給蒼——唔…嗯…唔…吁…吁…吁………蒼江…我喜歡你！我喜歡你——『我喜歡你——』如果下一刻即將死亡，我希望可以2個人一起死。神啊，千萬不要讓我丟下對方或者被對方丟下……千萬不要…千萬不要——,4.4,Chinese,volume : no...i am willing...i am willing to dedicate to cang——uh...uh...uuuuuuuuuuuuuuuuu cangjiang...i like you! i like you—i like you— if i am about to die in the next moment i hope that the two of us can die together. god please do not let me leave or be left behind...do not...do not—
40,@user 等Miti 我都不知道禮拜二要開工還是在家打飛機好,3.6,Chinese, waiting for miti i do not know whether to start work on tuesday or masturbate at home
41,@user 凡是吃不完饭的小朋友，小心今晚爷爷去找你,2.8,Chinese, all children who cannot finish their meal be careful that grandpa will find you tonight
42,@user 面像憨厚，不像是坏人。,3.5,Chinese, looks simple and honest not like a bad guy.
43,其實， 寶貝老婆並不淫蕩， 並不好色， 只是悶騷， 不好意思表達， 來推特的夫妻（老婆）， 情侶（女友）， 妳們說看看， 是不是2根比較夠用， 好玩啊？ 喜歡，讚成的……+1喔～ NO1 http,4.2,Chinese,in fact baby wife is not lascivious not lustful just sullen sorry to express couples (wives) and couples (girlfriends) who come to twitter please tell me if  sticks are enough it’s fun ? like agree...+~ no http
44,@user 但佢札起都幾好睇，有前世紀既V系FU(???,1.0,Chinese, but it’s pretty good looking there is a vseries fu from the previous century (???
45,@dw_chinese 说明金融行业对《国安法》不但没有像政界喧闹的那么悲观，反而对《国安法》下的香港秩序很乐观。对于他们来说，2019年不是一道“风景线”，而是一道“灾难线”。香港玩到了社会秩序崩溃，法治荡然无存，哪个企业家希望那种状况持续？,1.4,Chinese, shows that the financial industry is not as pessimistic about the national security law as the noisy political circles but is very optimistic about the order of hong kong under the national security law. for them  is not a landscape but a disaster. hong kong's social order has collapsed and the rule of law has disappeared. which entrepreneur hopes that this situation will continue?
46,这样举着手机边拍视频边啪啪啪很辛苦😢，幸好对方体力好，而且也是我喜欢的姿势💃。我的体力也还好，不过比以前差了，看来得进健身房了。💪（二） #西安娜娜 #西安小姨酱 http,3.5,Chinese,it's very hard to hold the phone and shoot videos while having sex but fortunately the other party has good physical strength and it is also my favorite posture. my physical strength is also good but worse than before it seems that i have to go to the gym.  () 西安娜娜 xi’an xiaoyijiang http
47,@user 不客氣,2.2,Chinese, you're welcome
48,@user 谁想到一身白衣之下是丰润的乳房和精心修剪过的黑森林呢,4.6,Chinese, who would have thought that under a white dress there are plump breasts and a wellmanicured black forest
49,@user @user @user 作为北极熊，我们和灰熊不同。我们是由灰熊进化而来。我们最大体重1吨。灰熊不可能这么强壮.我们的秘密就是只吃肉，纯生酮。碳水化合物时低级能源，脂肪是高级能源 http,1.6666666666666667,Chinese,   as polar bears we are not the same as grizzlies. we evolved from grizzly bears. our maximum weight is  ton. grizzlies cannot be this strong. our secret is to eat meat only pure ketogenic. carbohydrates are lowgrade energy fat is highgrade energy http
50,@user 野外有機會,2.6,Chinese, chance in the wild
51,@user 气压杆具体什么样子呢？,1.25,Chinese, what exactly does the air bar look like?
52,武汉：一名局级干部团队对口服务10支医疗队 http #新闻 #中国 #世界,1.4,Chinese,wuhan: a bureaulevel cadre team serves  medical teams http 新闻 中国 世界
53,瞧瞧这操逼频率， 在瞧瞧你们自己家老公的频率， 🙄🙄🙄 http,3.2,Chinese,look at the frequency of this fucking look at the frequency of your own husband  http
54,@user 他的手臂看起來可以一手舉一個人了（拜託舉我,2.6,Chinese, his arm looks like he can lift a person in one hand (lift me please
55,东南亚人民和全世界人民一样 享有同样的荣誉与尊严！ @user 请马上跟我们道歉！ APOLOGISE TO SEA #AllkpopRacist,2.0,Chinese,people in southeast asia enjoy the same honor and dignity as people all over the world!  please apologize to us immediately! apologise to sea allkpopracist
56,改变自己，是自救，影响别人，是救人。,2.6,Chinese,to change oneself is to save oneself to influence others is to save others.
57,@globaltimesnews 爆发地不一定是原产地,1.6,Chinese, outbreak is not necessarily origin
58,義雲高大師驚人的藝術來源於佛門 (亞洲日報 公元二○○○年六月八日 星期四) http 義雲高大師驚人的藝術來源於佛門 (亞洲日報 公元二○○○年六月八日 星期四) #義雲高 #義雲高大師,1.2,Chinese,master yi yungao's amazing art comes from buddhism (asia daily june   thursday) http master yi yungao's amazing art comes from buddhism (asia daily june   thursday)  yiyungaomaster yiyungao
59,@user 看縮圖還以為丘比特在對我發射愛ㄉ箭矢😵💘💘 點開來才發現是丁輝人在畫簽售透明隔板ㄝ！,3.0,Chinese, looked at the thumbnail and thought cupid was shooting love arrows at me  i clicked on it and found that it was ding hui who was drawing a transparent partition for signing and selling!
60,@user 可恶啊，身为中国人，我居然有点穷，我不配(´-｀),3.5,Chinese, damn it as a chinese i’m a bit poor i don’t deserve it(´｀)
61,@user @user @VOAChinese 李雲迪 我文字裡有這三個字 你他媽是蠢到繁體字也看不懂 通篇討論主題都在回應中紮稻草人自己打的很爽 你還是回你打工地方自己打手槍看今天有沒有辦法多一顆滷蛋吧,1.25,Chinese,   li yundi i have these three words in my text you are so fucking stupid that you can’t understand traditional chinese characters pistol let us see if there is any way to have an extra marinated egg today
62,@user 都是骑兵,1.25,Chinese, are all cavalry
63,@user 曾经说过默大妈毁了德国毁了欧洲,2.75,Chinese, once said aunt mo ruined germany ruined europe
64,有关于你 绝口不提 没限期 http,1.3333333333333333,Chinese,about you never mention it no deadline http
65,勿過度去臆測哥哥或懷疑哥哥的決定，相信他他怎樣我都支持，求黑粉跟白癡遠離我哥，就是這樣他才想刪除ins就是有你們這些人,3.4,Chinese,don’t speculate or doubt your brother’s decision too much believe him i will support him no matter what please stay away from my brother with black fans and idiots that’s why he wants to delete ins because of you people
66,@user 全力阻止！,2.0,Chinese, full stop!
67,性欲来了 没小哥哥 我有点太疯狂了 好像被自己搞肿了 可以帮我舔下消消肿的哦 http,3.8,Chinese,sexual desire is coming i don’t have a little brother i’m a bit too crazy i seem to be swollen by myself you can help me lick the swelling to reduce the swelling http
68,@iingwen 台湾自古以来就是中国领土，统一只是时间问题,1.5,Chinese, taiwan has been chinese territory since ancient times unification is only a matter of time
69,@user 只是个设想,1.0,Chinese, just an idea
70,TGC 把彩虹日的公告網頁刪了:( 就不要是因為某國人再吵造成的。 看到製作人推特一堆人再那邊x來x去就覺得,1.75,Chinese,tgc deleted the rainbow day announcement page :( it shouldn’t be caused by a certain country’s quarrel. i saw a bunch of people on the producer’s twitter and went over there.
71,@user 不然你覺得少了什麼,1.3333333333333333,Chinese, otherwise you think something is missing
72,@user 真的一直沉迷這張好好看的皇帝直到意識到好像真的沒有太多具體新情報(被美色誘惑,2.6,Chinese, was really obsessed with this goodlooking emperor until he realized that there really did not seem to be much specific new information (tempted by beauty
73,@user 是莱芜钢铁厂!冤枉莱阳了,2.0,Chinese, is laiwu iron and steel works! wronged laiyang
74,@user @user 那⋯⋯俺也沒辦法,2.0,Chinese,  then... i cannot help
75,@user 英醬的巧克力也可可愛愛OwO（咬住,2.25,Chinese, yingjiang's chocolate is also cute and love owo (bite
76,@user 🈶️锅在，Getter就算了,1.75,Chinese, the pot is here the getter is fine
77,如果以后除了做爱！或者调教只拍纹身和脸蛋还可以吗？ http,4.0,Chinese,if nothing but sex in the future! or is it okay to only take pictures of tattoos and faces? http
78,@user 貓咪真的何其無辜 明明就人類的問題啊,1.5,Chinese, cats are so innocent it’s clearly a human problem
79,我還買了這個why 赤葦臉腫偷吃東西，這個縫線縫的太差了吧 http,2.5,Chinese,i also bought this why chiwei's face is swollen and he steals food the stitches are too bad http
80,你们有没有过被删又加回来的人 有好多想说的话，最后只能转变成 “你最近好吗” 有那么一瞬间我奢望想回到从前 但其实心里早已知道那是不可能了 http,2.25,Chinese,have you ever been deleted and added back? there are so many things i want to say but in the end it can only be turned into how are you? for a moment i hoped to go back to the past but in fact i already knew in my heart that it was impossible http
81,@user @user 懲罰癡呆燈,2.5,Chinese,  punish dementia lights
82,@user 20'0308 翻譯更新: 檢查完醫生說 應該不會有事吶 再說兩個人還同時腹脹 (等明天的covid報告吶),2.2,Chinese, ' translation update: after the examination the doctor said that there should be nothing wrong
83,老公说，我被教练操的那晚，他撸射了三次，一定爽坏了吧 #母狗 #骚货 #绿帽 #公交车 #小母狗 #肉便器 #反差母狗 #反差 #騷貨 #肉便器 #淫蕩 #绿主 还谁来？加我 http,3.4,Chinese,my husband said the night i was fucked by the coach he masturbated and ejaculated three times it must have been a blast导狗萧货绿衣车车小姑狗肉泡轮差差寿狗差差萧货肉泡悲感who will come to the green master? add me http
84,@user 我打算和你网恋,2.75,Chinese, i am going to date you online
85,@user 现在骗人这么没底线了？什么弱智骗局都可以吗？,1.6,Chinese, is lying so bottomless now? is any mentally retarded scam okay?
86,自治区 #kk_senki,1.0,Chinese,autonomous region kk_senki
87,@user 弟兄們关鍵時候到了，如果現場看到黑川的CNN記者，請送他們去18层地狱。,1.75,Chinese, brothers the critical time has come. if you see cnn reporters from kurokawa on the scene please send them to the th floor of hell.
88,@user @user 这是山楂树的花吧。我家里有一棵。,2.6,Chinese,  this is the flower of the hawthorn tree. i have one at home.
89,言下之意：你们去祸害别地都行，就是别上京城来。当初武汉不封国际航班也是这个意思。 http,2.0,Chinese,the implication is: you can go and harm other places just do not come to the capital. this is also the meaning that wuhan did not block international flights at the beginning. http
90,这个抄底非常成功，少妇一枚，水一定多，你们能想象到吗，插进去的时候，噗嗤噗嗤的，关注我，最真实偷拍，原创作品 http,3.4,Chinese,this bargain hunting was very successful a young woman must have a lot of water can you imagine when it is inserted there is a puff follow me the most authentic candid shot original work http
91,@user 哈哈，牙口自慢路过w甜食是带给人幸福的元素！,3.0,Chinese, haha passing by slowly w sweets are the elements that bring people happiness!
92,@user 为了共产党的大业，牺牲个丈夫理所应当的，她经常这样熏陶我们,1.6,Chinese, for the great cause of the communist party it is only right to sacrifice a husband she often influences us like this
93,@user @zhanglifan @user 老章就事论事，讲话又是滴水不漏，再加上其父跟毛腊可是直接面对面接触过的，土共还真不好拿他，哈哈哈,1.75,Chinese,   lao zhang discusses the matter and his speech is impeccable plus his father and mao la have had direct facetoface contact the ccp really doesn’t like him hahaha
94,@user 完，荠菜加虾仁，俩味道一个都没有了,2.2,Chinese, finished shepherd's purse and shrimp neither of the two tastes are gone
95,@user 一言难尽啊,3.0,Chinese, cannot say enough
96,我現在才發現沒有補po 用怪圖慶祝兩隻生日！！！（混沌邪惡 #細胞神曲怪圖大會第一屆 #宇津木徳幸誕生祭2019 http,2.2,Chinese,i just found out now that there is no makeup po. celebrate two birthdays with strange pictures! ! ! (chaos evil cell divine comedy strange figure conference st utsuki tokuyuki birth festival  http
97,@user 开私信,2.6,Chinese, open private message
98,🚨911 今天是911檔案向公眾解密的日子 就在川普總統規定的最後期限5月20日之前 風暴來臨 http,1.0,Chinese, today is the day when the  files will be declassified to the public. just before the deadline set by president trump on may  the storm is coming http
99,@user @user @user @RFI_Cn 是吗？这个我就不知道了。,1.0,Chinese,    is that right? i do not know about this.
100,😦我要去打高糧的工了，爭取一年集齊5萬，第二年集齊5万，即刻去台灣。,2.25,Chinese,i am going to do a highincome job. i will try to collect  in one year and  in the second year. i will go to taiwan immediately.
101,@bbcchinese 没寻到真相，还信誓旦旦的当真相说，就是犯罪！,1.2,Chinese, did not find the truth but still swore to tell the truth it is a crime!
102,@user 煤，在這國是毒品？😂😂😂,1.3333333333333333,Chinese, coal is a drug in this country? 
103,@user 念的没问题啊，毕竟要开打，口号是很重要的，老外还阵前freedom呢，就是可惜没拽几句有气势的古文比如勿谓言之不预也,1.25,Chinese, it’s okay to read it. after all if we want to fight the slogan is very important. foreigners are still fighting for freedom but it’s a pity that they didn’t use a few powerful ancient chinese sentences such as don’t say it’s unpredictable
104,樓上妹妹：🚴‍♀️👈他是棄兒嗎？ 🚴‍♀️：他們（1）是棄兒生不出來一個精蟲不足一個卵巢痿縮。,4.0,Chinese,upstairs sister: ‍is he an outcast? ‍: they () are outcasts who cannot give birth to one sperm and one ovary atrophy.
105,@user 上🚪吗？,2.0,Chinese, on ?
106,@user @user @user 你先弄清楚章女士是什么时候坐的牢，当时的时代背景搞清楚了你就不会问这么无知的问题了,1.25,Chinese,   you should first find out when ms. zhang was imprisoned. if you understand the background of the times at that time you won’t ask such ignorant questions
107,@user @user 快啃吧，那是满满的胶原蛋白！,2.8,Chinese,  eat it it is full of collagen!
108,@user 为什么不给他们用你的阴道,3.0,Chinese, why do not you give them your vagina
109,上完廁所直接發現月經來 這陣子最幸運的事🥰🥰🥰,3.5,Chinese,after going to the toilet i found out that my period is coming. the luckiest thing this time 
110,@user @dw_chinese 假新闻害人。。。又傻一个,2.0,Chinese,  fake news hurts people. . . another fool
111,@user 我很幸福（大白天就睡覺）,3.0,Chinese, i am happy (sleep in broad daylight)
112,@user @user 给我还了，一点钱。好像公布了一个邮箱处理还款事宜的。,2.0,Chinese,  paid me back a little money. it seems that an email address has been posted to handle repayment matters.
113,這時間夜深人靜的突然好想要……,3.5,Chinese,at this time in the dead of night i suddenly want to...
114,@user 別人交換戒指他們交換金牌,2.8,Chinese, others exchange rings they exchange gold medals
115,@user @elonmusk @user 工业革命以来的再一次重大改革。比特币（网络黄金），莱特币（网络白银)，以太坊(革命性区块链操作系统、协议)。狗狗币将是未来的世界货币，狗狗币就是(基地)里面的信用点。,1.4,Chinese,   another major revolution since the industrial revolution. bitcoin (network gold) litecoin (network silver) ethereum (revolutionary blockchain operating system protocol). dogecoin will be the future world currency and dogecoin is the credit point in (base).
116,@user 它们现在开始赖，当时答应的条件被口头改变了！ 最早说是50G之后降速，变成40G之后降速！ 之前说降到3G，现在直接降到100块！,2.25,Chinese, they are now starting to complain and the conditions promised at that time have been verbally changed! it was first said to slow down after g and then slow down after g! it was said to be reduced to g before but now it is directly reduced to  yuan!
117,"在China文化中,工作能力的精髓,就是能自然而然的形成主从关系,同事之间形成主导关系,这样的强人,就是人际关系高手,也就是博弈中不怕失败,不怕丢掉工作的赌徒,慢慢形成强人人际关系,主从关系,主导关系的人,就是工作能力强.办法:1)杀戮开除,整服 2)贪腐分脏放肥",1.0,Chinese,in chinese culture the essence of work ability is to be able to naturally form a masterslave relationship and to form a dominant relationship among colleagues. such a strong person is a master of interpersonal relationships that is a gambler who is not afraid of failure in the game and is not afraid of losing his job. those who slowly form a strong interpersonal relationship a masterslave relationship and a dominant relationship are those who are capable of working. methods: ) kill and fire and ) corruption and fattening
118,@user 被认出来了w,3.0,Chinese, was recognized w
119,@user 哈哈哈 終於找到妳了,3.5,Chinese, hahaha finally found you
120,约不到人自己撸一发（一） http,4.0,Chinese,i cannot find someone to masturbate by myself () http
121,@user 正確的知識增加了,1.5,Chinese, correct knowledge added
122,#今仔日四大報 20190326 總統拼外交，四報看不到，韓總訪中國，大家搶著報 http,1.0,Chinese,今五日四大报告  the president fights for diplomacy but the four newspapers can’t see it. mr. han visited china and everyone rushes to report http
123,@user 那可以貼文前3秒 偷偷通知我一下嗎😜,2.2,Chinese, can you secretly notify me  seconds before posting 
124,忍不住啊 就是忍不住想找他说话,3.8,Chinese,i cannot help it i just cannot help but want to talk to him
125,@user 哈哈，單純交朋友很好，我是這樣覺得的,1.6,Chinese, haha it is good to just make friends i think so
126,当你经常面对着26岁左右的男生，如果有的男生没有保养好，40岁以后就很难看下去了。通常没有这个毛病的，应该是被人生宠一会儿。,2.4,Chinese,when you often face boys around  years old if some boys are not well maintained it will be difficult to look after  years old. usually those who do not have this problem should be spoiled by life for a while.
127,人来人往的室外露天停车场 偷偷的汽车后备箱 这两大场景外 加上女神让人血脉贲张的情爱对话下 的露出欲爱 （此视频精髓在对话，望诸君安静环境欣赏，完整版上传私人电报） http,3.8,Chinese,the two scenes of people coming and going in the outdoor openair parking lot and secretly in the trunk of the car plus the goddess's bloodthumping love dialogue reveals her desire (the essence of this video is in the dialogue i hope you enjoy it in a quiet environment the full version upload private telegram) http
128,@user 希望有天能夠被朵朵吃,3.6,Chinese, hopes to be eaten by duo duo one day
129,可能是因為生理期快來了 痛苦,3.25,Chinese,maybe it is because the menstrual period is coming soon. it's painful.
130,福特汽车将在中国推出30款新车型 - 财经新闻 -看中国网 - (AMP版) http,1.0,Chinese,ford motor to launch  new models in china  financial news kanchina.com  (amp version) http
131,现在的颜色还可以，但是没到我想到达的那个地步,2.4,Chinese,the color is okay now but not where i want it to be
132,@user 中國臺灣地區 http,1.3333333333333333,Chinese, taiwan china http
133,@user 我早说了嘛，内陆省份都应该核爆16次，沿海省份山东必须核爆64次。 秘制叉烧香不香？,2.0,Chinese, as i said earlier the inland provinces should have  nuclear explosions and the coastal province of shandong must have  nuclear explosions. is the secret barbecued pork fragrant?
134,@user @user 妈妈我是,2.6,Chinese,  mom i am
135,@user @user 米利同志是中国人民的老朋友。,1.5,Chinese,  comrade milli is an old friend of the chinese people.
136,@user @user 最搞笑的应该是没干过正事的也开始讨论政治了 还好像正义化身。,2.4,Chinese,  the funniest thing is that people who have never done anything serious start discussing politics it seems like the embodiment of justice.
137,@user 人命血錢賺不得啊…林會長👿,2.0,Chinese, bloody money cannot be earned...president lin
138,@user 这个是以前的下载库存..链接我实在是搞不到了。 如果看到了一定跟你说,2.0,Chinese, this is the previous download inventory.. i really cannot get the link. i will tell you if i see it
139,我最近两周都是六点遛狗回家洗漱之后坐公交车上班。 然后我突然发现不堵车了，心情贼好，也不用开车省的麻烦还得带上室友。关键是我七点十分就可以出发，等我到了单位吃完饭泡上一杯红茶。室友估计今天刚刚出门,3.0,Chinese,in the past two weeks i walked my dog ​​home at six of the clock to wash up and then took the bus to work. then i suddenly found that there was no traffic jam i was in a good mood and i did not have to drive to save trouble and had to bring my roommate. the key is that i can leave at : and when i get to work i can make a cup of black tea after dinner. my roommate probably just left the house today
140,@user 謝謝你,3.5,Chinese, thank you
141,http 帖子标题：农民工职校在读儿子为取毕业证被强制超时劳动，坠楼身亡 虽然未经证实，但是不扩就没有人去证实,1.2,Chinese,http post title: the son of a migrant worker in a vocational school was forced to work overtime in order to obtain a graduation certificate and fell to his death. although it has not been confirmed if it is not expanded no one will confirm it
142,尋找所有人的匿名問題！ 張鴻鈞沒有任何問題！ 張鴻鈞山第一個令人難忘的答案可能是您的問題！ ？ #問題框 #尋找匿名問題 http,1.4,Chinese,find anonymous questions for everyone! zhang hongjun has no problems! zhang hongjunshan's first memorable answer may be your question! ? questionbox find anonymous questions http
143,Ripple宣布新的ODL支付通道，抨击银行低效的跨境支付,1.6,Chinese,ripple announces new odl payment channel slams banks for inefficient crossborder payments
144,我完全忘記我的問卷填了什麼……🤣,1.4,Chinese,i totally forgot what i filled in my questionnaire... 
145,这表情包看来是一套的，有点想要了。 http,1.6,Chinese,this emoticon package seems to be a set and i want it a bit. http
146,@user 弄假成真，結果只對中共感謝，對台灣政府還有台積電這個神隊友完全不吭一聲🤣,1.8,Chinese, made the fake come true but in the end he only thanked the ccp and did not say a word to the taiwan government and tsmc the god teammate 
147,原创，这个小哥哥，跟他是在软件认识的，只是他岁数太小了😂，才上高中就这么大，真的是我见过算很大的了，那么粗，还有一部完整的采访版，他说13岁就被破处了😂，可惜现在不联系了，给我删除了 http,4.25,Chinese,original this little brother i met him in the software but he is too young  he is only this old when he was in high school. i have seen that he is really big so thick and there is a complete interview version he said he lost his virginity at the age of  but unfortunately he is no longer in touch now he deleted http for me
148,女友问：你知道我想吃什么吗？我说：不知道。她啪的一巴掌打过来，说：不知道为什么不问？ 我靠！！！ http,1.6,Chinese,girlfriend asked: do you know what i want to eat? i said: i do not know. she slapped her and said: i do not know why you did not ask? i rely on! ! ! http
149,"@user @user @dw_chinese 日久见人心, 您可以慢慢观察. 我认为李先生是高级大外宣",2.75,Chinese,   it takes a long time to see people's hearts you can observe slowly. i think mr. li is a highlevel foreign propaganda
150,@user 还不是太诱人,2.6,Chinese, is not too tempting yet
