label,language,cleanedtweet
1.0,Portuguese,think  movi global pass wonder
2.6,Portuguese,woman side street god kkkkk fals bad
2.0,Portuguese,post photo vini saul 🥺 begin question saul vinni slightlysmilingfaceistol
3.6,Portuguese,dont even need much   natur love belez 🥰
1.2,Portuguese,jog da discord dand son like special robert carl
3.8,Portuguese,solteir deat without chifr lugant crhle facewitharsofjoyfacewithfarsofjoy
3.6,Portuguese,rememb  defin file today channel  http
1.0,Portuguese,public
3.0,Portuguese,burden beauti pe
4.5,Portuguese,even person relat bitch mother equal milen
1.75,Portuguese,cant believ ill find tribe tomorrow smilingfacewithheartey
2.0,Portuguese,photo rafa http
1.25,Portuguese,blanket front necessari
1.4,Portuguese,ad youtub guy
1.0,Portuguese,imagin make goal today grêmio
1.8,Portuguese,god wont know write http
2.6,Portuguese,amg
1.2,Portuguese,test nov updat http
2.2,Portuguese,someon sponsor angel ff
2.75,Portuguese,want happi birthday neighbor
2.0,Portuguese,agr n consig acceit
2.6,Portuguese,hahaha stori cooler
1.6,Portuguese,perform mulh merec  motherlandforts award bookcas
2.6,Portuguese,dude put us togeth forgot kkkkkkkkkkkkkkkk
2.8,Portuguese,attract two type hom mt specif think genuin fun
1.25,Portuguese,ok
2.2,Portuguese,goodwil ever
1.8,Portuguese,best fd junt pilot nannin fod went afob curv  yesterday
1.0,Portuguese,hushedfac
2.2,Portuguese,cute still educ lol
3.0,Portuguese,god forbid date peopl know educ row n voker nunc
1.8,Portuguese,man pel q charg teresina better keep kidney corn kkkkkkkkkkkkkkkk
1.0,Portuguese,pprt capit busi ugli
2.0,Portuguese,yea  🇧🇷 🇧🇷 perfect kind imposs like delin
2.25,Portuguese,also tear find watch alreadi
1.8,Portuguese,think beauti
2.4,Portuguese,long time  think chien center sleep yesterday
1.8,Portuguese,seem doesnt rain ceilândia thinkingface🤨
1.8,Portuguese,he cute vei kkkkk
1.25,Portuguese,best ink 🇧🇷
3.0,Portuguese,mlk gauch quand say bread ta dur fal  cacetinho dur  simpl im lost tud
2.4,Portuguese,dont studi    lilian kitten
1.0,Portuguese,kkkkkkkkkkkkkkkkkkkkkk
1.6,Portuguese,cant understand what go see second year ine atip tour
2.2,Portuguese,quant meet fit video
2.4,Portuguese,way grandmoth break ca log ced differ 
3.2,Portuguese,someon fell love drop nad tô need lose weight
1.0,Portuguese,carr  premiosmtvmiaw  mtvlateamken  mtvlacreadorgltwin  mtvlacrushbogg  mtvlafandomteamken
1.4,Portuguese,go work full sex street hoj
1.8,Portuguese,receiv
3.2,Portuguese,vc end huda fic trist
4.6,Portuguese,ye saw lock leg pain ass ca two pulp kk
2.4,Portuguese,im go tidi
3.0,Portuguese,alreadi
3.5,Portuguese,learn wife friend love
2.2,Portuguese,would tortur famili feel felip
2.6,Portuguese,look like boot jacket euj train
4.4,Portuguese,miss yesterday gave sensat cag hoj dei anoth sej gave two cag fabul
3.0,Portuguese,amen new year top redheart️
2.2,Portuguese,racist everyth needi doesnt satisfi fdp http
1.4,Portuguese,two pap excel
1.4,Portuguese,tod day menga eat titul fic difficult competefaceconfussedfaceconfussedfacethumbsdownlightskintoonthumbsdownlightskinto comethumbsdownlightskinton
1.0,Portuguese,accur
2.6,Portuguese,md alreadi enrol   day photo cours photograf scr  month god
3.0,Portuguese,ta tell “wont” alreadi tour bairr x
1.4,Portuguese,two kitti 🥺
1.0,Portuguese,laugh dm moc kkkkkkkkkkkkkkkkkkkkkkk
2.0,Portuguese,gent cad day
1.4,Portuguese,end mulh vain longer wear public bath
1.0,Portuguese,start cri inter player stori repeat
4.0,Portuguese,guy came pee cat sleep minh calc go http
2.75,Portuguese,strang includ today uniform krl
1.0,Portuguese,bet want ok
3.0,Portuguese,like vsf
2.6,Portuguese,arriv see tag mama red heart sarah love
2.0,Portuguese,mother finish planet alreadi fav http
2.4,Portuguese,come woman one friend anyon
2.0,Portuguese,rt day cancel ilo corn carl
2.6,Portuguese,friend shipp easier endgam alyra val facewithofofvacewithofsofjoyfacewithofofacewithofofcewithofopjoy
4.0,Portuguese,gave lot valu deserv 
1.2,Portuguese,juliet put gil podium instead fedor invad projac alreadi deliv prêmi  bbb
1.4,Portuguese,eit amg app ill see think
1.4,Portuguese,mansaf mine move cell phone
1.8,Portuguese,pair patienc today
1.666666667,Portuguese,jeon jungkook vote  bt  butter  armi   kcamex 
1.2,Portuguese,kkkkkk q
1.25,Portuguese,want
2.25,Portuguese,manuel make bad music  fac naoo http
1.75,Portuguese,act tomorrow baião contr botat frit flexedbicepsfoldedhand
4.4,Portuguese,fame without lie cam abu go fac personshrug
1.25,Portuguese,foreseen cri patet
2.8,Portuguese,that  depress ca im peopl confid unconsci
4.2,Portuguese,im
2.4,Portuguese,access updat http profil
3.25,Portuguese,dream tram night
2.2,Portuguese,god sad whindersson go father mine
2.0,Portuguese,good engag http
2.0,Portuguese,ye princesskkkkkkkkkkkkk
2.75,Portuguese,give play championship noi municip make dm tlk jog hour msm kkk kkk rollingonthefloorlaugh
2.0,Portuguese,ive seen dont work kkkkkkkkk
1.8,Portuguese,dont know im aliv wait vmin live
1.2,Portuguese, person visual profil http
2.8,Portuguese,ta chef sb obscec talk
2.8,Portuguese, make comfort
1.8,Portuguese,sweat quadrey
1.2,Portuguese,assist probabl advantag border millic digit dit rum
1.5,Portuguese,behind goal stop
1.4,Portuguese,dr talk vaccin adult end year gave trigger 
2.25,Portuguese,profil seen  weight last  hor http
1.4,Portuguese, baixaagit moment turn fd snip kkk http
1.2,Portuguese,guion agit roll wont work  aviagenov
1.4,Portuguese,goz cert
1.2,Portuguese,jjsikkkk eit vei q laugh
1.5,Portuguese,wide everyth
1.6,Portuguese,whatsapp slutti possibl
2.4,Portuguese,man q prov pqp
2.0,Portuguese,make tutori like pfvr
1.5,Portuguese,take mareep name felip neto
2.8,Portuguese,nobodi chersmirkingfacesmirkingfacecatfacewithwrysmil
2.8,Portuguese,gent video appear trembl kkkkk sdd lind heart️
2.0,Portuguese,chut  question mat tomananh kkkkkkkkkkk cad k porr minh mae vend minh
2.2,Portuguese,hj saw play great return ide sdd
1.0,Portuguese,profil seen  person last  hor http
2.8,Portuguese,date beauti like http
1.25,Portuguese,ahahah 🥱
3.6,Portuguese,ligu p maur c pediatr jalec state think surpris avi grav 
3.8,Portuguese,anxieti pressur caind q bja bad n bja n want critic sob bjo
2.2,Portuguese,pel men peg rain wash leather last time ask
3.0,Portuguese,bore msm exist comic relief
2.6,Portuguese,urgent 🇧🇷 🇧🇷 tomorrow im go skirt calc help ju
3.75,Portuguese,rais gay cam prais jimin vocal http
1.6,Portuguese,md record ta trav
1.4,Portuguese,hell br look want arriv maritub
3.0,Portuguese,still conform joão go  nonconform atacu come receiv
3.6,Portuguese,mistaken vid timelin del facebook psychopat
1.8,Portuguese,believ come collabost probabl im delud rumor think imposs also kkkk
1.8,Portuguese,make friend kkkkk
2.0,Portuguese,know peac mind disabl sit alreadi make  week oh quiet
1.8,Portuguese,technic burr carah léo natel bad need better
3.8,Portuguese,help sister choos perfum god come man
1.2,Portuguese,champion congratul achiev 
4.0,Portuguese,look kid ulter date del pq porran mul lind peitaum want
1.8,Portuguese,dont like gay either prefer regil mon sincer   legendsoftomorrow
3.6,Portuguese,fic someon ness moment  http
1.0,Portuguese,realm osi q see wors q otr
3.6,Portuguese,car still shock lie     cont man p lad 🇧🇷 🇧🇷
1.5,Portuguese, men recesso 
2.0,Portuguese, person visual profil http
2.2,Portuguese,br intirinho love
1.666666667,Portuguese,kauan
2.0,Portuguese,grenal carach
2.6,Portuguese,envi mg emerg aid could compris even  esquin
2.4,Portuguese,forgiv perfect
2.2,Portuguese,apen  day sarah
1.8,Portuguese,viad couldnt even studi ness heat
1.6,Portuguese,go trust
2.8,Portuguese,friend mine exchang joão pessoa im anxiou review 🇧🇷
1.5,Portuguese,ye  atz doesnt even appear right sad
1.0,Portuguese,end thread
1.2,Portuguese,cancel cancel card
3.2,Portuguese,anoth sexet fir ca fowningface️
1.4,Portuguese,alli respond fan book see angel
1.0,Portuguese,taylor harri petro steal two go dua aurikingfac http
2.0,Portuguese,whenev listen say anyth show del eu cri horror kkkkk
1.6,Portuguese,hj hit procrastin monster
3.8,Portuguese,im go say hi open leg vdd
2.2,Portuguese,pel men self esteem
2.0,Portuguese,fc http
2.8,Portuguese,mother talk father  rank hom gent gentli ite
2.0,Portuguese,im blogger 🇧🇷 🇧🇷
1.0,Portuguese,vot  dynamit choreograph son sung deuk  favechoographi  iheartaward rt  vot
4.4,Portuguese,god bless vibrat
2.6,Portuguese,imagin deep hydrat
1.4,Portuguese,nobodi write nom del cort im kkkkkkkkkkkkkkkkkkkk  nolimit
1.2,Portuguese,alreadi want friday feijoadroolingfaceroolingfacedroolingfacedroolingfacedroolingfacedroolingfac
1.8,Portuguese,receiv call messag flood peopl  imagin tweet fo ger umbrella tod
1.6,Portuguese,ah saw  blue sea  photot  pod believ 🇧🇷 🇧🇷 one second http
1.0,Portuguese,profil seen  weight last  hor http
2.8,Portuguese,anoth discuss made god  thank therapi
3.4,Portuguese,van order one celebr qlq thing sifod invent motiv accur
3.4,Portuguese,happen
2.6,Portuguese, hello cleitinh ca fell betray
4.0,Portuguese,soon like kitten
2.75,Portuguese,cant come vitor poss kakkakakkak  probadefog
1.2,Portuguese,profil seen  weight last  hor http
1.4,Portuguese,ok  specif
2.2,Portuguese,cred get day
4.0,Portuguese,ill fill car hoj q fuck
3.0,Portuguese,eras love god felt well
2.0,Portuguese,two friend mountain burn ring ndol think lotr lgbtqia 🇧🇷 🇧🇷
2.0,Portuguese,yet beauti oblig jungkook
1.2,Portuguese,kkkkk final dont duv
1.8,Portuguese,amav paint nail nail nowaday think fic 🇧🇷 prevalec sempr red mort
2.6,Portuguese,pqp n agent
2.2,Portuguese,winter even start alreadi program complain fri tempor inteir
1.75,Portuguese,angri face
1.6,Portuguese,new statu person visit http profil
1.2,Portuguese,profil seen  weight last  hor http
2.4,Portuguese,eaten
2.0,Portuguese,tent pay pizza accept aplic
3.0,Portuguese,carah chatic goe tone ass leav
1.4,Portuguese,littl one met intern career http
1.25,Portuguese,go tri cours   ye almost certain edif http
2.6,Portuguese,understand
1.2,Portuguese,posit good
2.6,Portuguese,knee hurt lot
1.4,Portuguese,biggest everyth
2.8,Portuguese,bid girlfriend cad lug need pag kkkkkk
2.8,Portuguese,block bbb channel one watch take ass bbb boy kkkkk
2.6,Portuguese,alreadi drank almost  liter water  hor mt obg bt per salv kidney
3.6,Portuguese,cant fall love fall love fall love fall love bare fall love kk
3.6,Portuguese,im love think day dream
1.2,Portuguese,woman triallionair  million juliett http
3.4,Portuguese,lucki sister went get vaccin tone janssen
2.2,Portuguese,willing sit god lap say  let father earth  loudlycryingfac
2.0,Portuguese,look perfect love http
1.2,Portuguese,get work ill go straight train
1.4,Portuguese,provis fuck
2.4,Portuguese,wors like 
2.6,Portuguese,good night pexual sleebingfaceredheart️
1.0,Portuguese, day think
1.4,Portuguese,someon come limp minh ca wearyfac
1.8,Portuguese,cant rest even sat
2.8,Portuguese,better dan cart kakakakakakakakajj
3.2,Portuguese,god good time mother goe viaj quart volt sab handshakefacesavingdeliciousfoodfoldedhand
1.0,Portuguese,week sunshin
1.6,Portuguese,second favorit
1.75,Portuguese,kkkkkaral
2.2,Portuguese,im bad laugh kkkkkkkkkkkkk
2.2,Portuguese,lid adolescentjov neutralfaceneutralfacefacewithrollingeyesfacewithrollingey lid elder children smilingfacewithhearteyessminingfacewithhearteyes🥰🥰sminingface️
1.4,Portuguese,red white blue blood
2.2,Portuguese,crimin mind heart band music note
2.8,Portuguese,everyth goe wrong great sneze face
3.0,Portuguese,fine never block tant temp
1.8,Portuguese,maria john blueheart purpleheart blueheart purpleheart
1.4,Portuguese,found skala cream bad long praz
1.75,Portuguese,dont know box got kjkjj joke
1.8,Portuguese,kind eh doid dem
2.333333333,Portuguese,beauti sonh speak loud arriv med accord log lantern cr kkk
1.25,Portuguese,dream kkkkk
1.0,Portuguese,lost kkkk azid
2.4,Portuguese,mother sunni doesnt come diet smilingfacewithheartey
3.333333333,Portuguese,sound bif facewithstuckouttongu    closedeyesredheart️
1.8,Portuguese,work right foldhandsfacewitharsofjoy
2.0,Portuguese,ksk
2.6,Portuguese,lock screen background victor kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
1.6,Portuguese, connect perd    plu  connect perd  lig ask fic fic raiv bloqu personshruggingmediumdarkskinton ﬁ emagelesign️flushedfac
4.0,Portuguese,way fals cmg delight milingfacewithhearteyessmin facewithhearteyessminingfacewithheartey
2.8,Portuguese,even lose whoever get lose much
3.0,Portuguese,odeio fic miss blame bglh know blame pprt keep
3.4,Portuguese,think xodozinho want know without
4.4,Portuguese,worst miss porr sac im troux vsf
3.0,Portuguese,im freak cant
2.0,Portuguese,work late pov fic call im full son 🤬 hate woke
4.5,Portuguese,go ca post fill buchin ca da gerent q like
2.6,Portuguese,care credit pel public photo
1.4,Portuguese,like much girl go jim jam
1.75,Portuguese,loc radf
2.666666667,Portuguese,ok c qui
4.4,Portuguese,love kitten
3.0,Portuguese,viv im dolor pic play http
1.0,Portuguese,penalti rodrigo caio🥵
2.25,Portuguese,
1.4,Portuguese,
1.6,Portuguese,im go woman post chapter log deuuuuuu
3.2,Portuguese,love   right friend like alreadi heheh
1.4,Portuguese,sext feir conclud success sexxtoouu 🇧🇷
3.2,Portuguese,wash foot rat thought exhaust smell
1.6,Portuguese,greater invest love love  involvec  nolimit http
2.0,Portuguese,car simpl love video
2.0,Portuguese,talent money smile facewithsunglasescallmehand
2.6,Portuguese,want g marijuana kkk birthday gift
2.25,Portuguese,im pass
3.8,Portuguese,beauti among tant woman teeth por love
2.8,Portuguese,opinion flower 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷
4.6,Portuguese,want met want
1.4,Portuguese,didnt sleep anyth
2.0,Portuguese,list rihann tud better
3.0,Portuguese,stop everyth dont even ask
4.4,Portuguese,dick luch
2.0,Portuguese,tatá werneck list show chat net want go  masc
3.2,Portuguese,without fight
2.4,Portuguese,twitter mort zap mort facebook mort instagram mort krl one convers 🥺brokenheartloudlycryingfac
1.25,Portuguese,part aid campaign yet stol bu saind da cidad
2.8,Portuguese,alreadi crazi kkk
2.0,Portuguese,chaeyoung child pain thing saw hoj
1.0,Portuguese,delali warn grandfath
1.4,Portuguese,arriv end year arriv  crlh facewithsteamfromnos
3.0,Portuguese,best thing sister  pair resp oxygen  kkk
1.8,Portuguese, real hd memóri notebook q mort
3.8,Portuguese,go anoth night hospit time gael hard personfacepalminglightskinton ﬁ eminefacefac
1.2,Portuguese,end  year vasco champion libert
3.2,Portuguese,sincer fuck even go put daughter fritur coi chudur spicy…  nov see die
2.75,Portuguese,minh next ghost zidan  enjoy still  cabel  cop
3.0,Portuguese,someon think like love
2.25,Portuguese, best captain  comfort mt🥺🥺🥺 http
2.5,Portuguese,profil seen  person last minut http
2.4,Portuguese,look fd
1.8,Portuguese,belli grow right longer take anymor
2.25,Portuguese,tomorrow one http
1.8,Portuguese,luiz adrian pro scarp pass fuck
4.25,Portuguese,also think 🇧🇷 possibl think junt noit one without notion tant 🇧🇷
1.5,Portuguese,bonitinh mob mat person rainbow nom
1.2,Portuguese,profil seen  person last minut http
1.5,Portuguese,dan rg blue sea guard roup want port  think okhand
1.6,Portuguese,man take soft glass im look like tant train chiuau
1.4,Portuguese,talk new alreadi rememb titan  walkngership️ last leav apag light
2.4,Portuguese,best 
1.75,Portuguese,made dell
2.4,Portuguese,discourag everyth today
2.0,Portuguese,peac bglh worth lot go wast
2.8,Portuguese,carai quant baitola tml excus
2.6,Portuguese,said  goe research vaccin prim friend trinidad fic bol swollen  aaaaaaa
1.25,Portuguese,di alreadi know
1.666666667,Portuguese,ti question
2.4,Portuguese,pass bad letic car kkkkkkkk
2.4,Portuguese,willing sit bar leav tomorrow
1.6,Portuguese,delet coi affect
1.6,Portuguese,guy alreadi tt  accord agor nunc dorm
1.2,Portuguese,wtttffffff
1.0,Portuguese,god good time time god good
2.6,Portuguese,hi indic wise book
1.8,Portuguese,must great hatr power call
1.4,Portuguese,curio im go get tomorrow want dial  thousand smilingfacewithopenmouth    closedey
1.2,Portuguese,life wont faint sempr
2.0,Portuguese,last visit updat http profil
1.2,Portuguese,beauti 
1.8,Portuguese,feir
2.0,Portuguese, month meet artist alreadi design differ agr
2.4,Portuguese,nad lot   long pass temp faa besteir kkkkkk
2.8,Portuguese,want go ca da minh madrinh fic good temp volt test casament del seipersonfacepalmingmediumskintonemetalesign️
1.0,Portuguese,movi aveng ultimatum
3.5,Portuguese,curt dem
3.6,Portuguese,plug ye never appear
2.8,Portuguese,tomorrow return entranc exam life cri resolv physic question
3.2,Portuguese,father went supermerc bol pineappl bon dont two 
2.6,Portuguese,tt exist person   fud post feel want vsf hahahahahahha hushshu
3.0,Portuguese,show cute
1.8,Portuguese,forgiv put spin top bad music eclip hater come
2.2,Portuguese,bord hop alreadi vid  http
2.25,Portuguese,speak like die end
2.2,Portuguese,assist word honor termin  tâ lind man 🥺pensivefaceredheart
3.0,Portuguese,give saf weight correspond naughti http
1.5,Portuguese,dev law prohibit work sunday facewithopenmouthulateaway
1.8,Portuguese,want water friend
2.6,Portuguese,go trust potenti
3.0,Portuguese,kkkkkkkkkkkkkkkkkkkkkkkkki go black found disturb persongetingmassagelightskintone‍femalesign️
3.8,Portuguese,without charact dont care care day day jog suj low gan
1.8,Portuguese,bonito one believ beauti
2.5,Portuguese,beauti daniel god
1.6,Portuguese,imbal one thing fals anoth reliev face http
1.0,Portuguese,mundinho giovanna want read game list book read
3.2,Portuguese,send photo
3.0,Portuguese,someon make social call pensiv face
1.4,Portuguese,bt alreadi gent http
1.2,Portuguese,rio 🇧🇷 jap
1.4,Portuguese,excerpt song shaman friend kkkkkkkk
1.4,Portuguese,mark see so cresc year
1.0,Portuguese,thing right learn way matter
3.2,Portuguese,couldnt sleep direct teacher tav put music aullycryingfac
3.0,Portuguese,bad feel one miss person know distan lose friendship
3.333333333,Portuguese,brokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrok enheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheartbrokenheart
2.2,Portuguese,come ness sunday afternoon anunc assum jimin utt jk compani podi palm
3.0,Portuguese,pec lil friend privat lil raismhandslightskintonefoldedhandslightskinton
1.0,Portuguese,god  🇧🇷
1.0,Portuguese,londrina giant ganh fd mig
1.6,Portuguese,friend horror movi
1.0,Portuguese,profil seen  weight last  hor http
1.5,Portuguese,immens difficulti player promis titul
2.5,Portuguese,uteru coc arriv
1.2,Portuguese,short touch back oppos pressur come speed vertic send see certin ness vid
4.0,Portuguese,sister made hummm 
3.2,Portuguese,alreadi want see love later🥺kiss
3.0,Portuguese,stay watch america got talent ph afonso didnt even see hor pass clownfac
2.0,Portuguese,surt gent assist zayn sleep
1.2,Portuguese,hate clim quent caranh
2.6,Portuguese,hate thick peopl put ignor q put
2.6,Portuguese,gave rt tweet context menin pen sick head
1.333333333,Portuguese,franc small zywo
1.0,Portuguese,colco sugar 🇧🇷 hahahaha
1.0,Portuguese,
2.2,Portuguese,bianca andrad beauti pregnant woman year
1.25,Portuguese,vic crown bizarr thing happen
1.0,Portuguese,statu  person visual profil http
1.8,Portuguese,want go mile show
4.0,Portuguese,want go back life normal complain tant dont know wors
4.4,Portuguese,sdd puppi blueheartcryingfac
1.5,Portuguese, falasdaaterr extrem necessari  everyon must watch
2.75,Portuguese,show fc cell phone 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷 🇧🇷
1.0,Portuguese,etern custom cpf note
2.25,Portuguese,man pass  fuck year admin worst experi cm possibl social red pqp
1.6,Portuguese,joão “im go vote pocah save me” joã vot
3.5,Portuguese, men nanism
2.8,Portuguese,swear god cant take zé gabriel anymor
2.25,Portuguese,te cust tant fil
2.2,Portuguese,pod lanc styl kkk one day im go ca fucksparklessparklessparkl
1.4,Portuguese,visit friend paulinho saw
1.0,Portuguese,profil seen  person last  hor http
1.75,Portuguese,car bait real dont know alreadi text argument kkkkkkkkkkkkkkkkkkkkkkkkkk
1.5,Portuguese,incred 
1.6,Portuguese,alreadi dont accept zip code
2.0,Portuguese,tomorrow
2.0,Portuguese,lack guy ca rar fal famili complic
3.4,Portuguese,im full hatr hj
3.6,Portuguese,black need love affect crossedfingershundredpointsskullandcrossbon
1.5,Portuguese, person view profil http
2.2,Portuguese,day hj ral want ca tone bath dorm
1.8,Portuguese,gave nap fernanda souza assum namor tud gent 🇧🇷 🇧🇷 🇧🇷 viv love
1.2,Portuguese,ah one pedal
1.8,Portuguese,famili unit  bolsonaro reelect
1.4,Portuguese,eh cad saw 
2.8,Portuguese,peopl sleep ca nad complain girl help pass pass shame 🤭🤭facewithrollingey
1.2,Portuguese,kan  thousand occas better 
1.4,Portuguese,amaz crazi im out…  good day
2.2,Portuguese,everyth alway see hand god indexpointingup️redheart️
2.0,Portuguese, person view profil http
2.2,Portuguese,end vivo opportun  who talk alreadi activ 🇧🇷
2.0,Portuguese,goe wrong right thing could happen
1.2,Portuguese,sat come keep eye small screen see rais impon world champion leag
2.2,Portuguese,made pasta white sauc carn moid top facesavingdeliciousfood
3.0,Portuguese,hard gain attenção hj kk
1.2,Portuguese,scoobi differ regardless game someth special gost del 
3.25,Portuguese,im go bglh love vain start belief q vdd
1.6,Portuguese,put chuv im ca aiai
2.0,Portuguese,merci wors true went leav kidney
2.0,Portuguese,unhappi next semestr alreadi lock  http
1.4,Portuguese,come jad make donat  bbb  jad
2.8,Portuguese,father cute guent smile face heartey
1.75,Portuguese,ye hoj 
1.8,Portuguese,armi ask namjoon feel saw yoong danc answer  yoong hyung fof danc well  🥺🥺🥺
3.0,Portuguese,say problem
3.0,Portuguese,preci peid abl sleep cant http
1.8,Portuguese,coi paid http
1.2,Portuguese,face foc determin enemig give forc vanc 🇧🇷 flexedbicepsflexedbicepsflexedbicepsflexbicep http
2.6,Portuguese,sometim caught
1.0,Portuguese,tant politu tant tantian brazilian polit end contain two carnav one year
3.0,Portuguese,want worthi lick bot
2.4,Portuguese,im chewi fal one clar go miss
1.6,Portuguese,hj day behind bu pass much ced horári
1.4,Portuguese,better poor design rick cuzão
2.4,Portuguese,dont affect ok mayb box
1.6,Portuguese,one
3.0,Portuguese,want know demonstr affect come someth planet
1.4,Portuguese,duv someon give tribal intak
1.6,Portuguese,come end come never yha
1.0,Portuguese,god homeland famili freedom threat lie
1.75,Portuguese,merci mon escola want kill us base odi viu
3.0,Portuguese,gent den untam great father par p assist heeheheh
1.25,Portuguese,mr
1.0,Portuguese,unhappi give miranha cryingfac winner best effect visu oscar  dun  oscar http
3.6,Portuguese,start week well without voic rhinit atac peopl brava cmg motiv nad
1.2,Portuguese,governo gave grace pocin ca look cool speakinghead️ http
1.2,Portuguese,peopl deceiv sweat loneli
1.0,Portuguese,bolsonaro presid 
2.8,Portuguese,hmm happi minim smilingfacewithhearteyessminingfacewithhearteyessminingfac heartey
3.0,Portuguese,favor forget know
4.2,Portuguese,look maldad fri meadassag
3.8,Portuguese,complain sleep morn thumbsup mediumlightskinton
2.25,Portuguese,div realli watch better
2.8,Portuguese,new statu person visit http profil
1.0,Portuguese,
3.6,Portuguese,dont fech sever sever fech comig quand need 
2.2,Portuguese,vain meter 
3.6,Portuguese,im go go voltinh arthur
